cnpj,data_base,porte,origem
07716820000123,2021-05-01,Middle,Lista ativa
07722974000128,2021-05-01,Small,Lista ativa
07724951000152,2021-12-01,Middle,Lista ativa
07729336000139,2020-09-01,Very small,Lista ativa
07729964000114,2020-04-01,Middle,Lista ativa
07731055000110,2019-01-01,Small,Lista ativa
07732785000136,2019-05-01,SEM PORTE DEFINIDO,Lista ativa
07736144000150,2021-03-01,Small,Lista ativa
07740099000107,2021-01-01,Middle,Lista ativa
07751071000175,2020-05-01,Small,Lista ativa
07773452000155,2019-06-01,SEM PORTE DEFINIDO,Lista ativa
07774077000168,2021-07-01,Small,Lista ativa
07774659000144,2021-08-01,Very small,Lista ativa
07775838000104,2021-04-01,Middle,Lista ativa
07784024000128,2018-12-01,SEM PORTE DEFINIDO,Lista ativa
07784629000119,2022-08-01,Middle,Lista ativa
07787509000175,2022-01-01,Large,Lista ativa
07788701000186,2021-05-01,Middle,Lista ativa
07790113000187,2022-07-01,Large,Lista ativa
07793064000136,2018-11-01,SEM PORTE DEFINIDO,Lista ativa
07798560000182,2021-02-01,Small,Lista ativa
07803583000138,2019-08-01,Small,Lista ativa
07809935000162,2019-09-01,Large,Passiva mkt
07811589000157,2021-08-01,Very Small,Lista ativa
07820315000124,2020-01-01,SEM PORTE DEFINIDO,Lista ativa
07824875000157,2021-03-01,Middle,Lista ativa
07827450000100,2022-07-01,Small,Evento
07835675000108,2022-01-01,Large,Lista ativa
07843284000127,2018-03-01,SEM PORTE DEFINIDO,Lista ativa
07879222000175,2022-06-01,Small,Lista ativa
07910785000189,2021-02-01,Very small,Lista ativa
07946135000193,2022-07-01,Small,Lista ativa
07958406000120,2021-05-01,Middle,Lista ativa
08000185000146,2022-06-01,Very Small,Passiva mkt
08014539000101,2018-08-01,SEM PORTE DEFINIDO,Lista ativa
08019004000123,2022-07-01,Small,Lista ativa
08019917000140,2021-05-01,Small,Lista ativa
08027382000159,2018-03-01,SEM PORTE DEFINIDO,Lista ativa
08029559000156,2021-10-01,Very small,Lista ativa
08031066000150,2021-08-01,Small,Passiva mkt
08037621000151,2021-06-01,Small,Lista ativa
08040363000162,2022-05-01,Middle,Lista ativa
08053527000196,2022-10-01,Small,Lista ativa
08090853000173,2016-05-01,SEM PORTE DEFINIDO,Lista ativa
08103165000109,2021-05-01,Small,Lista ativa
08166507000121,2021-07-01,Small,Lista ativa
08172815000160,2021-03-01,Small,Lista ativa
08197563000123,2021-11-01,Very Small,Evento
08214494000119,2016-09-01,SEM PORTE DEFINIDO,Lista ativa
08231629000154,2021-09-01,Small,Lista ativa
08254382000191,2022-09-01,Small,Evento
08260859000141,2021-03-01,Small,Lista ativa
08267673000114,2019-05-01,SEM PORTE DEFINIDO,Lista ativa
08267977000181,2022-01-01,Very small,Lista ativa
08288515000140,2021-04-01,Small,Passiva mkt
08294237000134,2022-06-01,Small,Lista ativa
08298672000137,2021-08-01,Middle,Lista ativa
08327161000104,2022-02-01,Small,Lista ativa
08329483000346,2017-03-01,Middle,Lista ativa
08346746000163,2021-03-01,Small,Passiva mkt
08357284000180,2022-03-01,Very Small,Lista ativa
08377899000178,2022-07-01,Small,Lista ativa
08412209000174,2021-03-01,Middle,Passiva mkt
08438881000210,2022-03-01,Small,Lista ativa
08444319000118,2022-10-01,Middle,Lista ativa
08449945000105,2021-06-01,Very small,Indicação
08491597000126,2021-09-01,Large,Lista ativa
08508412000149,2021-10-01,Small,Lista ativa
