Id Spotter,CNPJ,Razão Social,Status,Data base,Data churn,LT (Meses),MRR Inicial,MRR Total (Atual),Spotter (R$),Comunicação (R$),Searching (R$),Exact Club (R$),Nº de Funcionarios Linkedin (Sobre),Nº funcionarios Conectados Linkedin,Link do LinkedIn,Porte (ajustado),Porte da Empresa segundo Receita Federal,Porte da Empresa segundo base de dados do Searching,Mercado,Sub setor,Leads em entrada,Agendamentos,Vendas,Cadencia ativa,Workflow ativo,Atividades concluidas,Numero de usuáros,Integração Inbound,Integração CRM,Minutos telefonia,Origem,Upsell (Sim / Não),Upsell (Nº),Upsell (R$),Downsell (Sim/Não),Downsell (Nº),Downsell (R$),Tipo de contrato,CNPJ
11798,16.792.427/0001-00,INFOMARKET LTDA,Ativo,01/01/2022,,10,1097,1097,699,199,199,,11-50,44,https://www.linkedin.com/company/infomarket-pesquisa/?originalSubdomain=br,Small,ME,EPP,Software - Marketing,,"13,11111111","4,714285714",1,1,18,"328,8571429",6,RDStation,PipeDrive,"278,1428571",BDR,Não,0,0,,,,ANUAL,16792427000100
11831,33.921.755/0001-88,HIT CARE NORDESTE IMPORTACAO COMERCIO E SERVICOS DE PRODUTOS MEDICOS ODONTOLOGICOS E HOSPITALARES LTDA,Churn,01/02/2022,25/11/2022,9,"966,9","966,9",699,"148,9",119,,11-50,10,https://www.linkedin.com/company/hit-solu%C3%A7%C3%B5es-para-sa%C3%BAde/?originalSubdomain=br,Small,DEMAIS,EPP,Comércio de Bens de Consumo duráveis - Equipamentos eletrônicos ; hardwares,,0,"4,666666667",1,0,8,"119,2",11,,PipeDrive,"253,5",CoMKTConteúdo,Não,0,0,,,,ANUAL,33921755000188
11838,03.692.262/0001-52,GFT SERVICOS DE PROMOCAO DE VENDAS E CORRETORA DE SEGUROS LTDA,Ativo,01/02/2022,,9,"1463,9","1961,9",1194,"348,9",419,,201-500,77,https://www.linkedin.com/company/gftcredmais/,Middle,ME,ME,"Serviços - Financeiro, seguros, previdência complementar e planos de saúde",,0,"3,8",4,2,8,"19,5",20,,,"211,875",ListasAtivas,Sim,3,697,Sim,1,199,MENSAL,3692262000152
12097,10.353.107/0002-58,HOTEIS SEARA LTDA,Ativo,01/04/2022,,7,1028,1028,759,0,269,,51-200,55,https://www.linkedin.com/company/hoteis-seara/about/,Middle,DEMAIS,DEM,Serviços - Turismo e Hospedagem,,0,0,0,2,8,0,4,,,0,Site,Não,0,0,,,,SEMESTRAL,10353107000258
12116,36.256.213/0001-26,SERVIT INTERMEDIACAO DE SERVICOS E NEGOCIOS LTDA,Churn,01/04/2022,27/07/2022,3,"996,9","996,9",,,,,2-10,7,https://www.linkedin.com/company/servitapp/,Very small,EPP,ME,"Software - Serviços administrativos (financeiro, contábil, RH, jurídico, monitoramento e segurança)",,0,1,0,0,6,0,4,,,0,EventodeTerceiros,Não,0,0,,,,ANUAL,36256213000126
12690,24.641.922/0001-46,PROLUNO TECNOLOGIA PARA EDUCACAO LTDA,Ativo,01/09/2022,,2,945,945,796,0,149,,2-10,19,https://www.linkedin.com/company/proluno/about/,Small,ME,ME,Software - Educacional,,11,1,0,0,18,382,5,RDStation,,96,EventodeTerceiros,Sim,1,99,,,,MENSAL,24641922000146
11297,00.569.905/0001-87,CVP COMERCIAL DE VEICULOS E PECAS LTDA,Ativo,01/10/2021,,13,"808,9","808,9",759,"49,9",0,,51-200,19,https://www.linkedin.com/company/cvp-ve%C3%ADculos/about/?originalSubdomain=br,Middle,DEMAIS,GE,"Comércio de Bens de Consumo duráveis - Veículos automotores, reboques, carrocerias e acessórios",,"582,6363636","62,83333333",0,0,12,"160,3333333",23,RDStation,RDStationCRM,"24,8",ListasAtivas,Não,0,0,,,,SEMESTRAL,569905000187
11724,13.345.286/0001-99,G2W INVESTMENTS - SOCIEDADE DE AGENTES AUTONOMOS DE INVESTIMENTOS SS LTDA,Churn,01/01/2022,14/06/2022,5,"1556,9",3999,,,,,11-50,27,linkedin.com/company/gwx-wealth-management/,Small,DEMAIS,ME,"Serviços - Financeiro, seguros, previdência complementar e planos de saúde",,0,"21,5",1,0,36,"136,25",50,,,3,ListasAtivas,Sim,1,3300,Sim,5,"857,9",SEMESTRAL,13345286000199
12157,31.551.111/0001-10,MAURO CASTRO DE AZEVEDO E SOUZA,Churn,01/05/2022,07/10/2022,5,"1193,9","1193,9",,,,,11-50,10,https://www.linkedin.com/company/aaldeia/about/,Small,ME,ME,"Serviços - Marketing, publicidade, design e produção",,0,2,0,1,10,"6,666666667",10,,,88,CoMKTConteúdo,Não,0,0,,,,MENSAL,31551111000110
12324,23.518.455/0001-07,MUNTZ SERVICOS DE MARKETING E PUBLICIDADE LTDA,Ativo,01/06/2022,,5,3927,3927,759,99,69,3000,11-50,36,https://www.linkedin.com/company/muntz/,Small,EPP,EPP,"Serviços - Marketing, publicidade, design e produção",,0,0,2,0,4,2,3,,,0,EventodeTerceiros,Não,0,0,,,,SEMESTRAL,23518455000107
