cnpj,data_base,mes,logo
00720263000175,2021-06-01,3,1
00720263000175,2021-06-01,4,1
00729687000443,2021-07-01,1,1
00729687000443,2021-07-01,2,1
00729687000443,2021-07-01,3,1
00729687000443,2021-07-01,4,1
00729687000443,2021-07-01,5,1
00729687000443,2021-07-01,6,1
00729687000443,2021-07-01,7,1
00732684000116,2020-11-01,1,1
00732684000116,2020-11-01,2,1
00732684000116,2020-11-01,3,1
00732684000116,2020-11-01,4,1
00732684000116,2020-11-01,5,1
00732684000116,2020-11-01,6,1
00732684000116,2020-11-01,7,1
00732684000116,2020-11-01,8,1
00732684000116,2020-11-01,9,1
00732684000116,2020-11-01,10,1
00732684000116,2020-11-01,11,1
00732684000116,2020-11-01,12,1
00732684000116,2020-11-01,13,1
00732684000116,2020-11-01,14,1
00738833000154,2022-04-01,1,1
00738833000154,2022-04-01,2,1
00738833000154,2022-04-01,3,1
00738833000154,2022-04-01,4,1
00738833000154,2022-04-01,5,1
00738833000154,2022-04-01,6,1
00738833000154,2022-04-01,7,1
00810559000187,2015-06-01,1,1
00810559000187,2015-06-01,2,1
00810559000187,2015-06-01,3,1
00810559000187,2015-06-01,4,1
00810559000187,2015-06-01,5,1
00810559000187,2015-06-01,6,1
00810559000187,2015-06-01,7,1
00810559000187,2015-06-01,8,1
00810559000187,2015-06-01,9,1
00810559000187,2015-06-01,10,1
00810559000187,2015-06-01,11,1
00810559000187,2015-06-01,12,1
00810559000187,2015-06-01,13,1
00810559000187,2015-06-01,14,1
00810559000187,2015-06-01,15,1
00810559000187,2015-06-01,16,1
00810559000187,2015-06-01,17,1
00810559000187,2015-06-01,18,1
00810559000187,2015-06-01,19,1
00810559000187,2015-06-01,20,1
00810559000187,2015-06-01,21,1
00810559000187,2015-06-01,22,1
00810559000187,2015-06-01,23,1
00810559000187,2015-06-01,24,1
00810559000187,2015-06-01,25,1
00810559000187,2015-06-01,26,1
00810559000187,2015-06-01,27,1
00810559000187,2015-06-01,28,1
00810559000187,2015-06-01,29,1
00810559000187,2015-06-01,30,1
00810559000187,2015-06-01,31,1
00810559000187,2015-06-01,32,1
00810559000187,2015-06-01,33,1
00810559000187,2015-06-01,34,1
00810559000187,2015-06-01,35,1
00810559000187,2015-06-01,36,1
00810559000187,2015-06-01,37,1
00810559000187,2015-06-01,38,1
00810559000187,2015-06-01,39,1
00810559000187,2015-06-01,40,1
00810559000187,2015-06-01,41,1
00810559000187,2015-06-01,42,1
